epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
96,21487.9,0.55331,0.60096,0.21483,0.80295,0.73946,0.80456,0.50611,0.44526,0.54371,0.21793,0.006865,0.006865,0.006865
97,21770.5,0.5429,0.59138,0.2092,0.80852,0.74976,0.8103,0.51316,0.43873,0.54869,0.22199,0.006832,0.006832,0.006832
98,22031.3,0.54847,0.59415,0.2103,0.83027,0.74029,0.81914,0.51953,0.43732,0.54345,0.21962,0.006799,0.006799,0.006799
99,22320.2,0.54076,0.59568,0.21086,0.82459,0.74349,0.81597,0.51932,0.43414,0.53977,0.21631,0.006766,0.006766,0.006766
100,22564.9,0.554,0.59123,0.21383,0.83555,0.74884,0.82041,0.52042,0.43943,0.52605,0.22646,0.006733,0.006733,0.006733
101,22769.2,0.53883,0.59173,0.20793,0.82792,0.76307,0.82987,0.52795,0.42707,0.5386,0.21482,0.0067,0.0067,0.0067
102,23006,0.54411,0.58422,0.20651,0.84303,0.75236,0.83109,0.53393,0.42543,0.53163,0.21532,0.006667,0.006667,0.006667
103,23244.8,0.53331,0.58408,0.20774,0.82291,0.77177,0.83214,0.53298,0.43458,0.52249,0.224,0.006634,0.006634,0.006634
104,23668.5,0.53757,0.5793,0.20524,0.85105,0.75716,0.82965,0.53426,0.42694,0.52119,0.2108,0.006601,0.006601,0.006601
105,23905.3,0.53736,0.58144,0.212,0.84644,0.75748,0.83018,0.53697,0.41992,0.52758,0.20986,0.006568,0.006568,0.006568
106,24137.3,0.54231,0.58043,0.20421,0.86214,0.7611,0.83519,0.53697,0.42535,0.51724,0.21186,0.006535,0.006535,0.006535
107,24356.2,0.52796,0.58131,0.20785,0.85949,0.76902,0.83871,0.54799,0.4177,0.51178,0.20993,0.006502,0.006502,0.006502
108,24605,0.53956,0.57248,0.21129,0.85908,0.75902,0.83426,0.54028,0.42513,0.50695,0.2155,0.006469,0.006469,0.006469
109,24853.4,0.53682,0.59472,0.20704,0.85477,0.76832,0.83779,0.53966,0.42668,0.50733,0.21443,0.006436,0.006436,0.006436
110,25134.7,0.53115,0.57984,0.21028,0.86035,0.76306,0.83795,0.54521,0.41958,0.50809,0.21074,0.006403,0.006403,0.006403
111,25351.9,0.54668,0.5707,0.20553,0.8432,0.77469,0.83725,0.5413,0.42847,0.50578,0.2114,0.00637,0.00637,0.00637
112,25639,0.52394,0.57357,0.2082,0.85474,0.78133,0.84115,0.55368,0.41422,0.50288,0.20435,0.006337,0.006337,0.006337
113,25925.9,0.53803,0.5676,0.20354,0.84231,0.77466,0.84009,0.55238,0.41719,0.49595,0.20752,0.006304,0.006304,0.006304
114,26162,0.54425,0.57143,0.20451,0.8391,0.7791,0.84085,0.5491,0.4151,0.50317,0.20875,0.006271,0.006271,0.006271
115,26376.3,0.54049,0.57877,0.20854,0.82916,0.79882,0.84417,0.55136,0.41721,0.49496,0.21151,0.006238,0.006238,0.006238
116,26631.2,0.54453,0.58005,0.20709,0.84069,0.77475,0.84015,0.5466,0.42026,0.508,0.20774,0.006205,0.006205,0.006205
117,26847.7,0.57065,0.57571,0.22097,0.84169,0.77727,0.83481,0.53787,0.43547,0.49539,0.21607,0.006172,0.006172,0.006172
118,27133,0.55822,0.57697,0.21254,0.8567,0.77129,0.8435,0.54286,0.42227,0.50235,0.21174,0.006139,0.006139,0.006139
119,27356.4,0.52577,0.56977,0.20632,0.86257,0.78878,0.85275,0.5454,0.42537,0.4908,0.2118,0.006106,0.006106,0.006106
120,27611.4,0.52876,0.56221,0.20409,0.88409,0.78567,0.86596,0.56066,0.41214,0.47909,0.21149,0.006073,0.006073,0.006073
121,27839.2,0.5373,0.55683,0.20277,0.86188,0.79104,0.85984,0.56041,0.41508,0.48267,0.20339,0.00604,0.00604,0.00604
122,28116.6,0.57021,0.56831,0.21788,0.877,0.77654,0.85369,0.55371,0.41594,0.48928,0.2044,0.006007,0.006007,0.006007
123,28302.3,0.57444,0.58016,0.23537,0.87403,0.78768,0.86018,0.55915,0.41364,0.48111,0.20358,0.005974,0.005974,0.005974
124,28550.3,0.57831,0.57258,0.23106,0.85415,0.77316,0.83686,0.52151,0.46144,0.47998,0.21106,0.005941,0.005941,0.005941
125,28819.3,0.60207,0.56948,0.22646,0.85809,0.76687,0.83731,0.53704,0.43628,0.49289,0.21575,0.005908,0.005908,0.005908
126,29055.9,0.60547,0.56357,0.22826,0.84477,0.76981,0.83309,0.52992,0.45002,0.48873,0.2098,0.005875,0.005875,0.005875
127,29284.5,0.5705,0.56369,0.22043,0.87647,0.78587,0.85495,0.54752,0.4231,0.48698,0.20892,0.005842,0.005842,0.005842
128,29541.4,0.518,0.55242,0.20235,0.88443,0.77344,0.85969,0.56773,0.40604,0.48611,0.20186,0.005809,0.005809,0.005809
129,29814.8,0.50918,0.5486,0.20012,0.90229,0.78298,0.86368,0.57627,0.39806,0.48091,0.19461,0.005776,0.005776,0.005776
130,30028.1,0.50334,0.55587,0.19912,0.90094,0.79666,0.87436,0.58848,0.39169,0.46903,0.19598,0.005743,0.005743,0.005743
131,30195.3,0.51468,0.54602,0.19428,0.89705,0.79248,0.87452,0.58343,0.39504,0.47125,0.19622,0.00571,0.00571,0.00571
132,30397.9,0.55962,0.55151,0.20631,0.86134,0.796,0.86877,0.57211,0.4027,0.48575,0.19933,0.005677,0.005677,0.005677
